Student_ID,Name,Age
1,Student_1,19
2,Student_2,20
3,Student_3,23
4,Student_4,20
5,Student_5,19
6,Student_6,22
7,Student_7,21
8,Student_8,22
9,Student_9,24
10,Student_10,22
11,Student_11,22
12,Student_12,20
13,Student_13,22
14,Student_14,24
15,Student_15,22
16,Student_16,20
17,Student_17,18
18,Student_18,19
19,Student_19,23
20,Student_20,19
21,Student_21,18
22,Student_22,20
23,Student_23,20
24,Student_24,22
25,Student_25,22
26,Student_26,21
27,Student_27,18
28,Student_28,18
29,Student_29,21
30,Student_30,21
31,Student_31,24
32,Student_32,23
33,Student_33,20
34,Student_34,18
35,Student_35,20
36,Student_36,19
37,Student_37,18
38,Student_38,20
39,Student_39,24
40,Student_40,21
41,Student_41,19
42,Student_42,24
43,Student_43,23
44,Student_44,20
45,Student_45,23
46,Student_46,20
47,Student_47,19
48,Student_48,21
49,Student_49,24
50,Student_50,19
51,Student_51,23
52,Student_52,22
53,Student_53,24
54,Student_54,23
55,Student_55,18
56,Student_56,18
57,Student_57,21
58,Student_58,22
59,Student_59,21
60,Student_60,24
61,Student_61,20
62,Student_62,21
63,Student_63,21
64,Student_64,24
65,Student_65,21
66,Student_66,21
67,Student_67,19
68,Student_68,21
69,Student_69,21
70,Student_70,21
71,Student_71,18
72,Student_72,21
73,Student_73,22
74,Student_74,24
75,Student_75,21
76,Student_76,20
77,Student_77,22
78,Student_78,23
79,Student_79,24
80,Student_80,21
81,Student_81,20
82,Student_82,20
83,Student_83,19
84,Student_84,22
85,Student_85,20
86,Student_86,22
87,Student_87,23
88,Student_88,20
89,Student_89,19
90,Student_90,19
91,Student_91,19
92,Student_92,21
93,Student_93,20
94,Student_94,19
95,Student_95,18
96,Student_96,19
97,Student_97,18
98,Student_98,18
99,Student_99,20
100,Student_100,20
101,Student_101,18
102,Student_102,23
103,Student_103,19
104,Student_104,18
105,Student_105,23
106,Student_106,24
107,Student_107,18
108,Student_108,24
109,Student_109,23
110,Student_110,20
111,Student_111,23
112,Student_112,18
113,Student_113,22
114,Student_114,19
115,Student_115,23
116,Student_116,18
117,Student_117,19
118,Student_118,18
119,Student_119,24
120,Student_120,20
121,Student_121,23
122,Student_122,21
123,Student_123,22
124,Student_124,21
125,Student_125,20
126,Student_126,24
127,Student_127,19
128,Student_128,22
129,Student_129,18
130,Student_130,24
131,Student_131,19
132,Student_132,21
133,Student_133,21
134,Student_134,21
135,Student_135,19
136,Student_136,18
137,Student_137,24
138,Student_138,18
139,Student_139,23
140,Student_140,18
141,Student_141,22
142,Student_142,21
143,Student_143,20
144,Student_144,20
145,Student_145,19
146,Student_146,19
147,Student_147,22
148,Student_148,18
149,Student_149,20
150,Student_150,21
151,Student_151,19
152,Student_152,19
153,Student_153,24
154,Student_154,22
155,Student_155,20
156,Student_156,23
157,Student_157,18
158,Student_158,18
159,Student_159,23
160,Student_160,18
161,Student_161,21
162,Student_162,24
163,Student_163,20
164,Student_164,20
165,Student_165,23
166,Student_166,23
167,Student_167,19
168,Student_168,23
169,Student_169,23
170,Student_170,18
171,Student_171,18
172,Student_172,20
173,Student_173,24
174,Student_174,21
175,Student_175,18
176,Student_176,23
177,Student_177,24
178,Student_178,21
179,Student_179,22
180,Student_180,19
181,Student_181,22
182,Student_182,21
183,Student_183,24
184,Student_184,18
185,Student_185,19
186,Student_186,22
187,Student_187,22
188,Student_188,22
189,Student_189,21
190,Student_190,24
191,Student_191,19
192,Student_192,23
193,Student_193,21
194,Student_194,21
195,Student_195,18
196,Student_196,18
197,Student_197,23
198,Student_198,21
199,Student_199,24
200,Student_200,24
